Country,HDI rank,2015 Human Development Index (HDI) (Value),2015 Inequality-adjusted HDI (IHDI) Value,2015 Inequality-adjusted HDI (IHDI) Overall loss (%),2015 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2015 Coefficient of human inequality,2010- 2015 Inequality in life expectancy (%),2015 Inequality-adjusted life expectancy index Value,2015 Inequality in education (%), 2015 Inequality-adjusted education index (Value),2015 Inequality in income (%),2015 Inequality-adjusted income index (Value),Income inequality (Quintile ratio),Income inequality (Palma ratio),Gini coefficient
Gabon,109,0.697,0.531,23.9,-3,23.8,27.6,0.501,23.5,0.473,20.4,0.631,8.4,2.1,42.2
Paraguay,110,0.693,0.524,24.3,-5,23.5,18.3,0.666,14,0.527,38.3,0.41,14.7,3.5,51.7
Egypt,111,0.691,0.491,29,-10,28.2,13.4,0.684,35,0.39,36.3,0.444,..,..,..
Turkmenistan,111,0.691,..,..,..,..,26,0.521,..,..,..,..,..,..,..
Indonesia,113,0.689,0.563,18.2,9,18.2,16.5,0.63,20.8,0.492,17.3,0.576,6.6,1.8,39.5
Palestine State of,114,0.684,0.581,15.1,13,15.1,13.7,0.705,16.5,0.547,15,0.509,5.5,1.4,34.5
Viet Nam,115,0.683,0.562,17.8,9,17.8,14.2,0.738,17.6,0.508,21.4,0.472,6.8,1.6,37.6
Philippines,116,0.682,0.556,18.4,8,18.2,16.2,0.623,11.6,0.563,26.8,0.49,8.4,2.2,43
El Salvador,117,0.68,0.529,22.2,3,22,13.7,0.707,26.6,0.429,25.7,0.488,8.4,2,41.8
Bolivia (Plurinational State of),118,0.674,0.478,29,-6,28.7,29,0.532,20.8,0.52,36.4,0.396,14.7,3,48.4
South Africa,119,0.666,0.435,34.7,-12,32,25.7,0.43,13.8,0.608,56.4,0.316,27.9,7.1,63.4
Kyrgyzstan,120,0.664,0.582,12.3,20,12.1,13.6,0.675,5,0.685,17.7,0.427,3.7,1,26.8
Iraq,121,0.649,0.505,22.3,1,22,19.3,0.616,30.6,0.347,16.1,0.602,..,..,..
Cabo Verde,122,0.648,0.518,20.1,4,19.9,13.4,0.713,18.2,0.436,28,0.446,10.7,2.7,47.2
Morocco,123,0.647,0.456,29.5,-2,28.3,16,0.702,45.8,0.273,23,0.497,7.4,1.9,40.7
Nicaragua,124,0.645,0.479,25.8,1,25.4,14.6,0.725,29.5,0.382,32.1,0.396,10.9,2.7,47.1
Guatemala,125,0.64,0.45,29.6,-2,29.1,17,0.665,36.2,0.324,34.1,0.424,12.1,3,48.7
Namibia,125,0.64,0.415,35.2,-13,33.4,21.7,0.543,25,0.41,53.6,0.321,20.3,5.8,61
Guyana,127,0.638,0.518,18.8,10,18.5,20.7,0.567,10.5,0.508,24.4,0.483,..,..,..
Micronesia (Federated States of),127,0.638,..,..,..,..,19.8,0.608,..,..,..,..,9.6,2.1,42.5
Tajikistan,129,0.627,0.532,15.2,16,14.9,23.2,0.586,6.5,0.615,15,0.418,4.5,1.2,30.8
Honduras,130,0.625,0.443,29.2,0,28.5,19.6,0.66,24.4,0.391,41.5,0.336,15.8,3.4,50.6
India,131,0.624,0.454,27.2,4,26.5,24,0.565,39.4,0.324,16.1,0.512,5.3,1.5,35.2
